# Element-by-element rates at equilibrium at full current
           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      27.10000   -2.0437E-32   -5.9267E-39   -2.1418E-36
      27.20000   -2.0406E-32   -6.1191E-39   -2.1386E-36
      27.30000   -2.0381E-32   -6.3188E-39   -2.1360E-36
      27.40000   -2.0362E-32   -6.5262E-39   -2.1340E-36
      27.50000   -2.0349E-32   -6.7420E-39   -2.1326E-36
      27.60000   -2.0343E-32   -6.9660E-39   -2.1319E-36
      27.70000   -2.0373E-32   -7.1623E-39   -2.1351E-36
      27.80000   -2.0464E-32   -7.3092E-39   -2.1447E-36
      27.90000   -2.0618E-32   -7.4049E-39   -2.1608E-36
      28.00000   -2.0838E-32   -7.4480E-39   -2.1839E-36
      28.10000   -2.1134E-32   -7.4475E-39   -2.2148E-36
      28.20000   -2.1465E-32   -7.4463E-39   -2.2496E-36
      28.30000   -2.1809E-32   -7.4480E-39   -2.2856E-36
      28.40000   -2.2166E-32   -7.4528E-39   -2.3230E-36
      28.50000   -2.2537E-32   -7.4611E-39   -2.3618E-36
      28.60000   -2.2922E-32   -7.4732E-39   -2.4023E-36
      28.70000   -2.3325E-32   -7.4896E-39   -2.4444E-36
      28.80000   -2.3669E-32   -7.5244E-39   -2.4941E-36
      28.90000   -2.4006E-32   -7.5684E-39   -2.5476E-36
      29.00000   -2.4357E-32   -7.6186E-39   -2.6039E-36
      29.10000   -2.4723E-32   -7.6760E-39   -2.6632E-36
      29.20000   -2.5106E-32   -7.7413E-39   -2.7257E-36
      29.30000   -2.5508E-32   -7.8157E-39   -2.7918E-36
      29.40000   -2.5933E-32   -7.9006E-39   -2.8620E-36
      29.50000   -2.6383E-32   -7.9978E-39   -2.9368E-36
      29.60000   -2.6863E-32   -8.1094E-39   -3.0168E-36
      29.70000   -2.7379E-32   -8.2381E-39   -3.1028E-36
      29.80000   -2.7939E-32   -8.3878E-39   -3.1960E-36
      29.90000   -2.8552E-32   -8.5631E-39   -3.2977E-36
      30.00000   -2.9231E-32   -8.7711E-39   -3.4098E-36
      30.10000   -2.9998E-32   -9.0212E-39   -3.5350E-36
      30.20000   -3.0881E-32   -9.3275E-39   -3.6772E-36
      30.30000   -3.1920E-32   -9.7105E-39   -3.8419E-36
      30.40000   -3.3171E-32   -1.0196E-38   -4.0367E-36
      30.50000   -3.4634E-32   -1.0781E-38   -4.2627E-36
      30.60000   -3.5811E-32   -1.1205E-38   -4.4590E-36
      30.70000   -3.5476E-32   -1.0851E-38   -4.4702E-36
      30.80000   -3.4301E-32   -1.0085E-38   -4.3751E-36
      30.90000   -3.3217E-32   -9.3849E-39   -4.2901E-36
      31.00000   -3.2338E-32   -8.8046E-39   -4.2305E-36
      31.10000   -3.1620E-32   -8.3183E-39   -4.1912E-36
      31.20000   -3.1141E-32   -7.8807E-39   -4.1547E-36
      31.30000   -3.0861E-32   -7.4774E-39   -4.1174E-36
      31.40000   -3.0644E-32   -7.1168E-39   -4.0885E-36
      31.50000   -3.0347E-32   -6.8083E-39   -4.0786E-36
      31.60000   -2.9968E-32   -6.5434E-39   -4.0864E-36
      31.70000   -2.9617E-32   -6.3002E-39   -4.0991E-36
      31.80000   -2.9290E-32   -6.0755E-39   -4.1160E-36
      31.90000   -2.8981E-32   -5.8665E-39   -4.1365E-36
      32.00000   -2.8686E-32   -5.6714E-39   -4.1602E-36
      32.10000   -2.8402E-32   -5.4884E-39   -4.1866E-36
      32.20000   -2.8125E-32   -5.3162E-39   -4.2156E-36
      32.30000   -2.7853E-32   -5.1538E-39   -4.2468E-36
      32.40000   -2.7585E-32   -5.0002E-39   -4.2801E-36
      32.50000   -2.7319E-32   -4.8548E-39   -4.3153E-36
      32.60000   -2.7053E-32   -4.7168E-39   -4.3522E-36
      32.70000   -2.6785E-32   -4.5857E-39   -4.3906E-36
      32.80000   -2.6516E-32   -4.4611E-39   -4.4305E-36
      32.90000   -2.6242E-32   -4.3426E-39   -4.4716E-36
      33.00000   -2.5965E-32   -4.2297E-39   -4.5139E-36
      33.10000   -2.5682E-32   -4.1223E-39   -4.5573E-36
      33.20000   -2.5393E-32   -4.0200E-39   -4.6017E-36
      33.30000   -2.5097E-32   -3.9226E-39   -4.6469E-36
      33.40000   -2.4794E-32   -3.8299E-39   -4.6928E-36
      33.50000   -2.4484E-32   -3.7417E-39   -4.7395E-36
      33.60000   -2.4164E-32   -3.6579E-39   -4.7866E-36
      33.70000   -2.3837E-32   -3.5782E-39   -4.8343E-36
      33.80000   -2.3500E-32   -3.5026E-39   -4.8823E-36
      33.90000   -2.3236E-32   -3.4266E-39   -4.9192E-36
      34.00000   -2.3232E-32   -3.3412E-39   -4.9183E-36
      34.10000   -2.3221E-32   -3.2606E-39   -4.9160E-36
      34.20000   -2.3203E-32   -3.1847E-39   -4.9122E-36
      34.30000   -2.3177E-32   -3.1132E-39   -4.9067E-36
      34.40000   -2.3143E-32   -3.0461E-39   -4.8995E-36
      34.50000   -2.3101E-32   -2.9833E-39   -4.8905E-36
      34.60000   -2.3117E-32   -2.9385E-39   -4.8940E-36
      34.70000   -2.3176E-32   -2.9323E-39   -4.9064E-36
      34.80000   -2.3247E-32   -2.9637E-39   -4.9216E-36
      34.90000   -2.2959E-32   -2.9848E-39   -4.8605E-36
      35.00000   -2.2441E-32   -3.0104E-39   -4.7508E-36
      35.10000   -2.2105E-32   -3.0818E-39   -4.6797E-36
      35.20000   -2.1791E-32   -3.1588E-39   -4.6132E-36
      35.30000   -2.1478E-32   -3.2385E-39   -4.5469E-36
      35.40000   -2.1167E-32   -3.3207E-39   -4.4812E-36
      35.50000   -2.0860E-32   -3.4053E-39   -4.4160E-36
      35.60000   -2.0555E-32   -3.4924E-39   -4.3516E-36
      35.70000   -2.0179E-32   -3.5857E-39   -4.2981E-36
      35.80000   -1.9573E-32   -3.6954E-39   -4.2779E-36
      35.90000   -1.8985E-32   -3.8089E-39   -4.2583E-36
      36.00000   -1.8413E-32   -3.9263E-39   -4.2391E-36
      36.10000   -1.7859E-32   -4.0476E-39   -4.2205E-36
      36.20000   -1.7322E-32   -4.1728E-39   -4.2026E-36
      36.30000   -1.6802E-32   -4.3020E-39   -4.1853E-36
      36.40000   -1.6297E-32   -4.4351E-39   -4.1686E-36
      36.50000   -1.5809E-32   -4.5722E-39   -4.1527E-36
      36.60000   -1.5336E-32   -4.7134E-39   -4.1374E-36
      36.70000   -1.4878E-32   -4.8587E-39   -4.1229E-36
      36.80000   -1.4434E-32   -5.0081E-39   -4.1092E-36
      36.90000   -1.4005E-32   -5.1617E-39   -4.0962E-36
      37.00000   -1.3590E-32   -5.3196E-39   -4.0839E-36
      37.10000   -1.3188E-32   -5.4817E-39   -4.0724E-36
      37.20000   -1.2799E-32   -5.6482E-39   -4.0617E-36
      37.30000   -1.2423E-32   -5.8191E-39   -4.0517E-36
      37.40000   -1.2059E-32   -5.9944E-39   -4.0425E-36
      37.50000   -1.1706E-32   -6.1743E-39   -4.0340E-36
      37.60000   -1.1366E-32   -6.3588E-39   -4.0262E-36
      37.70000   -1.1037E-32   -6.5479E-39   -4.0191E-36
      37.80000   -1.0718E-32   -6.7418E-39   -4.0128E-36
      37.90000   -1.0410E-32   -6.9405E-39   -4.0071E-36
      38.00000   -1.0112E-32   -7.1441E-39   -4.0022E-36
      38.10000   -9.8236E-33   -7.3527E-39   -3.9979E-36
      38.20000   -9.7021E-33   -7.5276E-39   -3.9528E-36
      38.30000   -9.5896E-33   -7.7026E-39   -3.9070E-36
      38.40000   -9.4794E-33   -7.8793E-39   -3.8621E-36
      38.50000   -9.2246E-33   -8.0993E-39   -3.8571E-36
      38.60000   -8.9721E-33   -8.3261E-39   -3.8542E-36
      38.70000   -8.7278E-33   -8.5581E-39   -3.8519E-36
      38.80000   -8.4916E-33   -8.7953E-39   -3.8501E-36
      38.90000   -8.2631E-33   -9.0378E-39   -3.8489E-36
      39.00000   -8.0422E-33   -9.2857E-39   -3.8481E-36
      39.10000   -7.8285E-33   -9.5391E-39   -3.8478E-36
      39.20000   -7.6220E-33   -9.7981E-39   -3.8479E-36
      39.30000   -7.4223E-33   -1.0063E-38   -3.8484E-36
      39.40000   -7.2293E-33   -1.0333E-38   -3.8493E-36
      39.50000   -7.0427E-33   -1.0609E-38   -3.8506E-36
      39.60000   -6.8625E-33   -1.0891E-38   -3.8522E-36
      39.70000   -6.6883E-33   -1.1179E-38   -3.8542E-36
      39.80000   -6.5201E-33   -1.1473E-38   -3.8564E-36
      39.90000   -6.3576E-33   -1.1774E-38   -3.8589E-36
      40.00000   -6.2007E-33   -1.2080E-38   -3.8615E-36
      40.10000   -6.0492E-33   -1.2393E-38   -3.8644E-36
      40.20000   -5.9030E-33   -1.2712E-38   -3.8674E-36
      40.30000   -5.7620E-33   -1.3037E-38   -3.8705E-36
      40.40000   -5.6260E-33   -1.3369E-38   -3.8738E-36
      40.50000   -5.4948E-33   -1.3707E-38   -3.8770E-36
      40.60000   -5.3684E-33   -1.4052E-38   -3.8803E-36
      40.70000   -5.2467E-33   -1.4404E-38   -3.8835E-36
      40.80000   -5.1294E-33   -1.4762E-38   -3.8867E-36
      40.90000   -5.0648E-33   -1.5078E-38   -3.8660E-36
      41.00000   -5.0238E-33   -1.5375E-38   -3.8347E-36
      41.10000   -4.9836E-33   -1.5673E-38   -3.8040E-36
      41.20000   -4.9440E-33   -1.5974E-38   -3.7738E-36
      41.30000   -4.9051E-33   -1.6277E-38   -3.7441E-36
