           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      21.10000   -3.2029E-31   -1.1657E-37   -5.5891E-35
      21.20000   -3.2290E-31   -1.1664E-37   -5.6143E-35
      21.30000   -3.2550E-31   -1.1672E-37   -5.6394E-35
      21.40000   -3.2811E-31   -1.1680E-37   -5.6646E-35
      21.50000   -3.3071E-31   -1.1688E-37   -5.6898E-35
      21.60000   -3.3331E-31   -1.1697E-37   -5.7149E-35
      21.70000   -3.3591E-31   -1.1706E-37   -5.7400E-35
      21.80000   -3.3851E-31   -1.1715E-37   -5.7651E-35
      21.90000   -3.4110E-31   -1.1724E-37   -5.7902E-35
      22.00000   -3.4368E-31   -1.1734E-37   -5.8152E-35
      22.10000   -3.4626E-31   -1.1745E-37   -5.8401E-35
      22.20000   -3.4884E-31   -1.1755E-37   -5.8650E-35
      22.30000   -3.5141E-31   -1.1766E-37   -5.8899E-35
      22.40000   -3.5397E-31   -1.1778E-37   -5.9146E-35
      22.50000   -3.5652E-31   -1.1790E-37   -5.9393E-35
      22.60000   -3.5906E-31   -1.1802E-37   -5.9640E-35
      22.70000   -3.6160E-31   -1.1815E-37   -5.9885E-35
      22.80000   -3.6412E-31   -1.1829E-37   -6.0130E-35
      22.90000   -3.6664E-31   -1.1842E-37   -6.0374E-35
      23.00000   -3.6914E-31   -1.1857E-37   -6.0617E-35
      23.10000   -3.7163E-31   -1.1872E-37   -6.0859E-35
      23.20000   -3.7412E-31   -1.1888E-37   -6.1100E-35
      23.30000   -3.7659E-31   -1.1904E-37   -6.1341E-35
      23.40000   -3.7905E-31   -1.1920E-37   -6.1580E-35
      23.50000   -3.8150E-31   -1.1938E-37   -6.1819E-35
      23.60000   -3.8394E-31   -1.1956E-37   -6.2056E-35
      23.70000   -3.8636E-31   -1.1975E-37   -6.2293E-35
      23.80000   -3.8877E-31   -1.1994E-37   -6.2528E-35
      23.90000   -3.9117E-31   -1.2014E-37   -6.2763E-35
      24.00000   -3.9356E-31   -1.2035E-37   -6.2997E-35
      24.10000   -3.9593E-31   -1.2057E-37   -6.3229E-35
      24.20000   -3.9829E-31   -1.2079E-37   -6.3461E-35
      24.30000   -4.0065E-31   -1.2103E-37   -6.3692E-35
      24.40000   -4.0299E-31   -1.2127E-37   -6.3922E-35
      24.50000   -4.0532E-31   -1.2152E-37   -6.4150E-35
      24.60000   -4.0763E-31   -1.2178E-37   -6.4378E-35
      24.70000   -4.0994E-31   -1.2204E-37   -6.4605E-35
      24.80000   -4.1223E-31   -1.2232E-37   -6.4831E-35
      24.90000   -4.1451E-31   -1.2261E-37   -6.5056E-35
      25.00000   -4.1677E-31   -1.2290E-37   -6.5281E-35
      25.10000   -4.1903E-31   -1.2321E-37   -6.5504E-35
      25.20000   -4.2127E-31   -1.2353E-37   -6.5727E-35
      25.30000   -4.2349E-31   -1.2386E-37   -6.5949E-35
      25.40000   -4.2571E-31   -1.2420E-37   -6.6171E-35
      25.50000   -4.2791E-31   -1.2455E-37   -6.6392E-35
      25.60000   -4.3010E-31   -1.2491E-37   -6.6612E-35
      25.70000   -4.3228E-31   -1.2529E-37   -6.6831E-35
      25.80000   -4.3445E-31   -1.2567E-37   -6.7050E-35
      25.90000   -4.3661E-31   -1.2607E-37   -6.7268E-35
      26.00000   -4.3875E-31   -1.2649E-37   -6.7486E-35
      26.10000   -4.4089E-31   -1.2692E-37   -6.7703E-35
      26.20000   -4.4301E-31   -1.2736E-37   -6.7920E-35
      26.30000   -4.4512E-31   -1.2782E-37   -6.8137E-35
      26.40000   -4.4722E-31   -1.2829E-37   -6.8353E-35
      26.50000   -4.4931E-31   -1.2878E-37   -6.8569E-35
      26.60000   -4.5139E-31   -1.2928E-37   -6.8784E-35
      26.70000   -4.5346E-31   -1.2980E-37   -6.8999E-35
      26.80000   -4.5553E-31   -1.3034E-37   -6.9214E-35
      26.90000   -4.5758E-31   -1.3090E-37   -6.9429E-35
      27.00000   -4.5963E-31   -1.3147E-37   -6.9644E-35
      27.10000   -4.6167E-31   -1.3206E-37   -6.9858E-35
      27.20000   -4.6371E-31   -1.3267E-37   -7.0072E-35
      27.30000   -4.6575E-31   -1.3331E-37   -7.0285E-35
      27.40000   -4.6778E-31   -1.3396E-37   -7.0499E-35
      27.50000   -4.6982E-31   -1.3463E-37   -7.0712E-35
      27.60000   -4.7185E-31   -1.3533E-37   -7.0925E-35
      27.70000   -4.7389E-31   -1.3605E-37   -7.1139E-35
      27.80000   -4.7594E-31   -1.3678E-37   -7.1353E-35
      27.90000   -4.7800E-31   -1.3752E-37   -7.1569E-35
      28.00000   -4.8008E-31   -1.3826E-37   -7.1788E-35
      28.10000   -4.8220E-31   -1.3901E-37   -7.2009E-35
      28.20000   -4.8434E-31   -1.3975E-37   -7.2234E-35
      28.30000   -4.8652E-31   -1.4050E-37   -7.2463E-35
      28.40000   -4.8874E-31   -1.4124E-37   -7.2695E-35
      28.50000   -4.9099E-31   -1.4199E-37   -7.2931E-35
      28.60000   -4.9329E-31   -1.4274E-37   -7.3171E-35
      28.70000   -4.9562E-31   -1.4348E-37   -7.3416E-35
      28.80000   -4.9799E-31   -1.4424E-37   -7.3665E-35
      28.90000   -5.0039E-31   -1.4499E-37   -7.3920E-35
      29.00000   -5.0282E-31   -1.4576E-37   -7.4180E-35
      29.10000   -5.0529E-31   -1.4652E-37   -7.4447E-35
      29.20000   -5.0780E-31   -1.4730E-37   -7.4719E-35
      29.30000   -5.1036E-31   -1.4808E-37   -7.4999E-35
      29.40000   -5.1295E-31   -1.4887E-37   -7.5285E-35
      29.50000   -5.1559E-31   -1.4967E-37   -7.5578E-35
      29.60000   -5.1827E-31   -1.5048E-37   -7.5880E-35
      29.70000   -5.2101E-31   -1.5130E-37   -7.6190E-35
      29.80000   -5.2381E-31   -1.5214E-37   -7.6510E-35
      29.90000   -5.2666E-31   -1.5300E-37   -7.6840E-35
      30.00000   -5.2958E-31   -1.5388E-37   -7.7181E-35
      30.10000   -5.3258E-31   -1.5478E-37   -7.7534E-35
      30.20000   -5.3567E-31   -1.5571E-37   -7.7902E-35
      30.30000   -5.3886E-31   -1.5668E-37   -7.8286E-35
      30.40000   -5.4218E-31   -1.5770E-37   -7.8690E-35
