           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
      21.80000    1.9831E-01    0.0000E+00    7.4079E+00    0.0000E+00
      21.90000    1.9691E-01    0.0000E+00    7.4070E+00    0.0000E+00
      22.00000    1.9534E-01    0.0000E+00    7.4058E+00    0.0000E+00
      22.10000    1.9359E-01    0.0000E+00    7.4044E+00    0.0000E+00
      22.20000    1.9168E-01    0.0000E+00    7.4027E+00    0.0000E+00
      22.30000    1.8964E-01    0.0000E+00    7.4008E+00    0.0000E+00
      22.40000    1.8747E-01    0.0000E+00    7.3986E+00    0.0000E+00
      22.50000    1.8518E-01    0.0000E+00    7.3961E+00    0.0000E+00
      22.60000    1.8280E-01    0.0000E+00    7.3933E+00    0.0000E+00
      22.70000    1.8033E-01    0.0000E+00    7.3901E+00    0.0000E+00
      22.80000    1.7778E-01    0.0000E+00    7.3867E+00    0.0000E+00
      22.90000    1.7518E-01    0.0000E+00    7.3828E+00    0.0000E+00
      23.00000    1.7252E-01    0.0000E+00    7.3786E+00    0.0000E+00
      23.10000    1.6982E-01    0.0000E+00    7.3741E+00    0.0000E+00
      23.20000    1.6710E-01    0.0000E+00    7.3691E+00    0.0000E+00
      23.30000    1.6435E-01    0.0000E+00    7.3637E+00    0.0000E+00
      23.40000    1.6159E-01    0.0000E+00    7.3579E+00    0.0000E+00
      23.50000    1.5882E-01    0.0000E+00    7.3517E+00    0.0000E+00
      23.60000    1.5605E-01    0.0000E+00    7.3450E+00    0.0000E+00
      23.70000    1.5329E-01    0.0000E+00    7.3378E+00    0.0000E+00
      23.80000    1.5054E-01    0.0000E+00    7.3302E+00    0.0000E+00
      23.90000    1.4780E-01    0.0000E+00    7.3222E+00    0.0000E+00
      24.00000    1.4509E-01    0.0000E+00    7.3136E+00    0.0000E+00
      24.10000    1.4239E-01    0.0000E+00    7.3045E+00    0.0000E+00
      24.20000    1.3973E-01    0.0000E+00    7.2956E+00    0.0000E+00
      24.30000    1.3727E-01    0.0000E+00    7.2956E+00    0.0000E+00
      24.40000    1.3484E-01    0.0000E+00    7.2956E+00    0.0000E+00
      24.50000    1.3242E-01    0.0000E+00    7.2948E+00    0.0000E+00
      24.60000    1.2983E-01    0.0000E+00    7.2826E+00    0.0000E+00
      24.70000    1.2726E-01    0.0000E+00    7.2698E+00    0.0000E+00
      24.80000    1.2472E-01    0.0000E+00    7.2564E+00    0.0000E+00
      24.90000    1.2221E-01    0.0000E+00    7.2425E+00    0.0000E+00
      25.00000    1.1972E-01    0.0000E+00    7.2280E+00    0.0000E+00
      25.10000    1.1725E-01    0.0000E+00    7.2130E+00    0.0000E+00
      25.20000    1.1480E-01    0.0000E+00    7.1974E+00    0.0000E+00
